dra,ddec,mag
-9.01265,-7.68164,17.13
-8.98857,-7.67057,17.13
-8.96448,-7.659489999999999,17.14
-8.94037,-7.64841,17.14
-8.91625,-7.63732,17.14
-8.89213,-7.62622,17.14
-8.867980000000001,-7.61512,17.14
-8.84383,-7.604019999999999,17.14
-8.81967,-7.592910000000001,17.14
-8.79549,-7.58179,17.14
-8.77131,-7.57067,17.14
-8.747110000000001,-7.559539999999999,17.14
-8.7229,-7.5484100000000005,17.14
-8.69868,-7.5372699999999995,17.14
-8.67445,-7.52613,17.14
-8.6502,-7.51498,17.14
-8.62595,-7.503830000000001,17.14
-8.60168,-7.4926699999999995,17.15
-8.57741,-7.481510000000001,17.15
-8.55312,-7.470339999999999,17.15
-8.52882,-7.459169999999999,17.15
-8.50451,-7.447989999999999,17.15
-8.480189999999999,-7.4368,17.15
-8.455860000000001,-7.425610000000001,17.15
-8.431519999999999,-7.41442,17.15
-8.407160000000001,-7.40322,17.15
-8.3828,-7.39202,17.15
-8.358419999999999,-7.38081,17.15
-8.33404,-7.36959,17.15
-8.30964,-7.35838,17.15
-8.28523,-7.34715,17.15
-8.260810000000001,-7.33592,17.15
-8.23638,-7.3246899999999995,17.16
-8.21195,-7.31345,17.16
-8.1875,-7.3022100000000005,17.16
-8.163030000000001,-7.290960000000001,17.16
-8.13856,-7.2797,17.16
-8.11408,-7.26845,17.16
-8.08959,-7.25718,17.16
-8.06509,-7.24592,17.16
-8.040569999999999,-7.23464,17.16
-8.01605,-7.22337,17.16
-7.9915199999999995,-7.21208,17.16
-7.96697,-7.2008,17.16
-7.942419999999999,-7.1895,17.16
-7.917860000000001,-7.178210000000001,17.16
-7.89328,-7.166910000000001,17.16
-7.8687,-7.1556,17.17
-7.8441,-7.14429,17.17
-7.8195,-7.13298,17.17
-7.79489,-7.12166,17.17
-7.77026,-7.11033,17.17
-7.74563,-7.099,17.17
-7.72098,-7.08767,17.17
-7.696330000000001,-7.0763300000000005,17.17
-7.67167,-7.064989999999999,17.17
-7.64699,-7.05364,17.17
-7.622310000000001,-7.0422899999999995,17.17
-7.59762,-7.030939999999999,17.17
-7.57291,-7.01957,17.17
-7.5482,-7.008210000000001,17.17
-7.52348,-6.99684,17.17
-7.49875,-6.985469999999999,17.17
-7.474010000000001,-6.9740899999999995,17.18
-7.449260000000001,-6.96271,17.18
-7.4245,-6.95132,17.18
-7.39973,-6.93993,17.18
-7.37495,-6.92853,17.18
-7.350160000000001,-6.91713,17.18
-7.325360000000001,-6.90573,17.18
-7.300560000000001,-6.89432,17.18
-7.275739999999999,-6.882910000000001,17.18
-7.25092,-6.87149,17.18
-7.2260800000000005,-6.8600699999999994,17.18
-7.201239999999999,-6.84864,17.18
-7.17639,-6.837210000000001,17.18
-7.15152,-6.82578,17.18
-7.12665,-6.81434,17.18
-7.10177,-6.8029,17.19
-7.07688,-6.79145,17.19
-7.051989999999999,-6.78,17.19
-7.027080000000001,-6.76855,17.19
-7.002160000000001,-6.75709,17.19
-6.977239999999999,-6.74562,17.19
-6.952310000000001,-6.73416,17.19
-6.92737,-6.722689999999999,17.19
-6.902410000000001,-6.71121,17.19
-6.877460000000001,-6.699730000000001,17.19
-6.8524899999999995,-6.68825,17.19
-6.82751,-6.676760000000001,17.19
-6.80253,-6.66527,17.19
-6.7775300000000005,-6.65378,17.19
-6.75253,-6.64228,17.19
-6.727519999999999,-6.63077,17.19
-6.7025,-6.619269999999999,17.2
-6.67747,-6.607760000000001,17.2
-6.6524399999999995,-6.596239999999999,17.2
-6.627389999999999,-6.58473,17.2
-6.602339999999999,-6.5732,17.2
-6.57728,-6.56168,17.2
-6.55221,-6.55015,17.2
-6.52714,-6.53861,17.2
-6.50205,-6.527080000000001,17.2
-6.47696,-6.5155400000000006,17.2
-6.45186,-6.50399,17.2
-6.42675,-6.49244,17.2
-6.40163,-6.4808900000000005,17.2
-6.37651,-6.46934,17.2
-6.351369999999999,-6.4577800000000005,17.2
-6.326230000000001,-6.44621,17.21
-6.301080000000001,-6.43465,17.21
-6.275930000000001,-6.423080000000001,17.21
-6.25076,-6.4115,17.21
-6.22559,-6.39993,17.21
-6.20041,-6.38834,17.21
-6.1752199999999995,-6.37676,17.21
-6.15003,-6.36517,17.21
-6.12482,-6.35358,17.21
-6.09961,-6.34199,17.21
-6.07439,-6.33039,17.21
-6.049169999999999,-6.31878,17.21
-6.02393,-6.307180000000001,17.21
-5.99869,-6.29557,17.21
-5.97345,-6.2839599999999995,17.21
-5.94819,-6.27234,17.21
-5.92293,-6.26072,17.22
-5.89766,-6.2491,17.22
-5.872380000000001,-6.237480000000001,17.22
-5.8471,-6.22585,17.22
-5.82181,-6.21421,17.22
-5.79651,-6.20258,17.22
-5.7712,-6.19094,17.22
-5.74589,-6.1793,17.22
